0;Afghanistan;AFG
1;Albania;ALB
2;Algeria;DZA
3;American Samoa;ASM
4;Andorra;AND
5;Angola;AGO
6;Anguilla;AIA
7;Antarctica;ATA
8;Antigua and Barbuda;ATG
9;Argentina;ARG
10;Armenia;ARM
11;Aruba;ABW
12;Australia;AUS
13;Austria;AUT
14;Azerbaijan;AZE
15;Bahamas (the);BHS
16;Bahrain;BHR
17;Bangladesh;BGD
18;Barbados;BRB
19;Belarus;BLR
20;Belgium;BEL
21;Belize;BLZ
22;Benin;BEN
23;Bermuda;BMU
24;Bhutan;BTN
25;Bolivia (Plurinational State of);BOL
26;Bonaire Sint Eustatius and Saba;BES
27;Bosnia and Herzegovina;BIH
28;Botswana;BWA
29;Bouvet Island;BVT
30;Brazil;BRA
31;British Indian Ocean Territory (the);IOT
32;Brunei Darussalam;BRN
33;Bulgaria;BGR
34;Burkina Faso;BFA
35;Burundi;BDI
36;Cabo Verde;CPV
37;Cambodia;KHM
38;Cameroon;CMR
39;Canada;CAN
40;Cayman Islands (the);CYM
41;Central African Republic (the);CAF
42;Chad;TCD
43;Chile;CHL
44;China;CHN
45;Christmas Island;CXR
46;Cocos (Keeling) Islands (the);CCK
47;Colombia;COL
48;Comoros (the);COM
49;Congo (the Democratic Republic of the);COD
50;Congo (the);COG
51;Cook Islands (the);COK
52;Costa Rica;CRI
53;Croatia;HRV
54;Cuba;CUB
55;Curaçao;CUW
56;Cyprus;CYP
57;Czechia;CZE
58;Côte d'Ivoire;CIV
59;Denmark;DNK
60;Djibouti;DJI
61;Dominica;DMA
62;Dominican Republic (the);DOM
63;Ecuador;ECU
64;Egypt;EGY
65;El Salvador;SLV
66;Equatorial Guinea;GNQ
67;Eritrea;ERI
68;Estonia;EST
69;Eswatini;SWZ
70;Ethiopia;ETH
71;Falkland Islands (the) [Malvinas];FLK
72;Faroe Islands (the);FRO
73;Fiji;FJI
74;Finland;FIN
75;France;FRA
76;French Guiana;GUF
77;French Polynesia;PYF
78;French Southern Territories (the);ATF
79;Gabon;GAB
80;Gambia (the);GMB
81;Georgia;GEO
82;Germany;DEU
83;Ghana;GHA
84;Gibraltar;GIB
85;Greece;GRC
86;Greenland;GRL
87;Grenada;GRD
88;Guadeloupe;GLP
89;Guam;GUM
90;Guatemala;GTM
91;Guernsey;GGY
92;Guinea;GIN
93;Guinea-Bissau;GNB
94;Guyana;GUY
95;Haiti;HTI
96;Heard Island and McDonald Islands;HMD
97;Holy See (the);VAT
98;Honduras;HND
99;Hong Kong;HKG
100;Hungary;HUN
101;Iceland;ISL
102;India;IND
103;Indonesia;IDN
104;Iran (Islamic Republic of);IRN
105;Iraq;IRQ
106;Ireland;IRL
107;Isle of Man;IMN
108;Israel;ISR
109;Italy;ITA
110;Jamaica;JAM
111;Japan;JPN
112;Jersey;JEY
113;Jordan;JOR
114;Kazakhstan;KAZ
115;Kenya;KEN
116;Kiribati;KIR
117;Korea (the Democratic People's Republic of);PRK
118;Korea (the Republic of);KOR
119;Kuwait;KWT
120;Kyrgyzstan;KGZ
121;Lao People's Democratic Republic (the);LAO
122;Latvia;LVA
123;Lebanon;LBN
124;Lesotho;LSO
125;Liberia;LBR
126;Libya;LBY
127;Liechtenstein;LIE
128;Lithuania;LTU
129;Luxembourg;LUX
130;Macao;MAC
131;Madagascar;MDG
132;Malawi;MWI
133;Malaysia;MYS
134;Maldives;MDV
135;Mali;MLI
136;Malta;MLT
137;Marshall Islands (the);MHL
138;Martinique;MTQ
139;Mauritania;MRT
140;Mauritius;MUS
141;Mayotte;MYT
142;Mexico;MEX
143;Micronesia (Federated States of);FSM
144;Moldova (the Republic of);MDA
145;Monaco;MCO
146;Mongolia;MNG
147;Montenegro;MNE
148;Montserrat;MSR
149;Morocco;MAR
150;Mozambique;MOZ
151;Myanmar;MMR
152;Namibia;NAM
153;Nauru;NRU
154;Nepal;NPL
155;Netherlands (the);NLD
156;New Caledonia;NCL
157;New Zealand;NZL
158;Nicaragua;NIC
159;Niger (the);NER
160;Nigeria;NGA
161;Niue;NIU
162;Norfolk Island;NFK
163;Northern Mariana Islands (the);MNP
164;Norway;NOR
165;Oman;OMN
166;Pakistan;PAK
167;Palau;PLW
168;Palestine, State of;PSE
169;Panama;PAN
170;Papua New Guinea;PNG
171;Paraguay;PRY
172;Peru;PER
173;Philippines (the);PHL
174;Pitcairn;PCN
175;Poland;POL
176;Portugal;PRT
177;Puerto Rico;PRI
178;Qatar;QAT
179;Republic of North Macedonia;MKD
180;Romania;ROU
181;Russian Federation (the);RUS
182;Rwanda;RWA
183;Réunion;REU
184;Saint Barthélemy;BLM
185;Saint Helena, Ascension and Tristan da Cunha;SHN
186;Saint Kitts and Nevis;KNA
187;Saint Lucia;LCA
188;Saint Martin (French part);MAF
189;Saint Pierre and Miquelon;SPM
190;Saint Vincent and the Grenadines;VCT
191;Samoa;WSM
192;San Marino;SMR
193;Sao Tome and Principe;STP
194;Saudi Arabia;SAU
195;Senegal;SEN
196;Serbia;SRB
197;Seychelles;SYC
198;Sierra Leone;SLE
199;Singapore;SGP
200;Sint Maarten (Dutch part);SXM
201;Slovakia;SVK
202;Slovenia;SVN
203;Solomon Islands;SLB
204;Somalia;SOM
205;South Africa;ZAF
206;South Georgia and the South Sandwich Islands;SGS
207;South Sudan;SSD
208;Spain;ESP
209;Sri Lanka;LKA
210;Sudan (the);SDN
211;Suriname;SUR
212;Svalbard and Jan Mayen;SJM
213;Sweden;SWE
214;Switzerland;CHE
215;Syrian Arab Republic;SYR
216;Taiwan (Province of China);TWN
217;Tajikistan;TJK
218;Tanzania, United Republic of;TZA
219;Thailand;THA
220;Timor-Leste;TLS
221;Togo;TGO
222;Tokelau;TKL
223;Tonga;TON
224;Trinidad and Tobago;TTO
225;Tunisia;TUN
226;Turkey;TUR
227;Turkmenistan;TKM
228;Turks and Caicos Islands (the);TCA
229;Tuvalu;TUV
230;Uganda;UGA
231;Ukraine;UKR
232;United Arab Emirates (the);ARE
233;United Kingdom of Great Britain and Northern Ireland (the);GBR
234;United States Minor Outlying Islands (the);UMI
235;United States of America (the);USA
236;Uruguay;URY
237;Uzbekistan;UZB
238;Vanuatu;VUT
239;Venezuela (Bolivarian Republic of);VEN
240;Viet Nam;VNM
241;Virgin Islands (British);VGB
242;Virgin Islands (U.S.);VIR
243;Wallis and Futuna;WLF
244;Western Sahara;ESH
245;Yemen;YEM
246;Zambia;ZMB
247;Zimbabwe;ZWE
248;Åland Islands;ALA
250;Stateless;XXA
